"","PM Axial Extrusion(w_m)","Magnet thickenss","Torque"
"1",0.02,0.005,14.3370330319582
"2",0.02,0.01,29.317624129111
"3",0.02,0.015,40.2931348446667
"4",0.02,0.02,48.4089998139762
"5",0.02,0.025,54.5877640828907
"6",0.02,0.03,59.4018607599822
"7",0.02,0.035,63.2118577267312
"8",0.02,0.04,66.256788840339
"9",0.03,0.005,21.7939721722559
"10",0.03,0.01,47.5569318288509
"11",0.03,0.015,68.001763772453
"12",0.03,0.02,83.7972994609337
"13",0.03,0.025,96.1296768365949
"14",0.03,0.03,105.886905648565
"15",0.03,0.035,113.685102762312
"16",0.03,0.04,119.957959515327
"17",0.04,0.005,27.660692238719
"18",0.04,0.01,62.791972737353
"19",0.04,0.015,92.3473074618302
"20",0.04,0.02,116.109952858277
"21",0.04,0.025,135.15392471849
"22",0.04,0.03,150.483252952176
"23",0.04,0.035,162.87744159763
"24",0.04,0.04,172.926576742937
"25",0.05,0.005,32.0357040649718
"26",0.05,0.01,74.6354281252876
"27",0.05,0.015,111.94533201001
"28",0.05,0.02,142.934559481469
"29",0.05,0.025,168.374235844309
"30",0.05,0.03,189.205509366167
"31",0.05,0.035,206.253317548278
"32",0.05,0.04,220.194616665744
"33",0.06,0.005,35.0626326804611
"34",0.06,0.01,83.2128043690329
"35",0.06,0.015,126.560373426536
"36",0.06,0.02,163.483482583029
"37",0.06,0.025,194.426906905771
"38",0.06,0.03,220.168326948424
"39",0.06,0.035,241.482728012918
"40",0.06,0.04,259.063346529111
"41",0.07,0.005,36.8865106693706
"42",0.07,0.01,88.7792405803027
"43",0.07,0.015,136.393331166752
"44",0.07,0.02,177.729597412614
"45",0.07,0.025,212.965897013558
"46",0.07,0.03,242.687307465011
"47",0.07,0.035,267.562616610339
"48",0.07,0.04,288.247187492015
"49",0.08,0.005,37.6481205433252
"50",0.08,0.01,91.6204972669925
"51",0.08,0.015,141.809143086652
"52",0.08,0.02,186.001524408878
"53",0.08,0.025,224.188382578788
"54",0.08,0.03,256.777077489669
"55",0.08,0.035,284.309583189893
"56",0.08,0.04,307.370999481886
"57",0.09,0.005,37.4822570166039
"58",0.09,0.01,92.0273297036074
"59",0.09,0.015,143.233465355052
"60",0.09,0.02,188.793592887117
"61",0.09,0.025,228.581542129062
"62",0.09,0.03,262.861098927873
"63",0.09,0.035,292.05152000381
"64",0.09,0.04,316.654880764878
"65",0.1,0.005,36.516771336022
"66",0.1,0.01,90.2887001650338
"67",0.1,0.015,141.113635152452
"68",0.1,0.02,186.676831549787
"69",0.1,0.025,226.786963622148
"70",0.1,0.03,261.601944593134
"71",0.1,0.035,291.436179529443
"72",0.1,0.04,316.710383548158
"73",0.11,0.005,34.8721453128359
"74",0.11,0.01,86.689959985785
"75",0.11,0.015,135.903963495183
"76",0.11,0.02,180.257368783201
"77",0.11,0.025,219.528072297943
"78",0.11,0.03,253.801742910409
"79",0.11,0.035,283.311401625002
"80",0.11,0.04,308.406941617254
