"","PM Axial Extrusion(w_m)","Magnet thickenss","Torque"
"1",0.02,0.005,13.7907598024302
"2",0.02,0.01,27.7719192777454
"3",0.02,0.015,38.0790853965674
"4",0.02,0.02,45.7792323715885
"5",0.02,0.025,51.6816853978799
"6",0.02,0.03,56.2968661568799
"7",0.02,0.035,59.9537891555094
"8",0.02,0.04,62.8749930855832
"9",0.03,0.005,21.5681429629283
"10",0.03,0.01,46.0070680650698
"11",0.03,0.015,65.3928586353526
"12",0.03,0.02,80.4689138395798
"13",0.03,0.025,92.2948612862409
"14",0.03,0.03,101.672051641889
"15",0.03,0.035,109.168452040871
"16",0.03,0.04,115.191420374506
"17",0.04,0.005,27.8605629822408
"18",0.04,0.01,61.5186922146072
"19",0.04,0.015,89.7710616617717
"20",0.04,0.02,112.589256917857
"21",0.04,0.025,130.929945507384
"22",0.04,0.03,145.705798045745
"23",0.04,0.035,157.643194484691
"24",0.04,0.04,167.302528760907
"25",0.05,0.005,32.6972091263868
"26",0.05,0.01,73.7453851656808
"27",0.05,0.015,109.631550784019
"28",0.05,0.02,139.554898196671
"29",0.05,0.025,164.162153069104
"30",0.05,0.03,184.305054501302
"31",0.05,0.035,200.759521636959
"32",0.05,0.04,214.176557203849
"33",0.06,0.005,36.1837849178617
"34",0.06,0.01,82.7350429419648
"35",0.06,0.015,124.619830340188
"36",0.06,0.02,160.447053092368
"37",0.06,0.025,190.503361749473
"38",0.06,0.03,215.473750023073
"39",0.06,0.035,236.09141072267
"40",0.06,0.04,253.032227858871
"41",0.07,0.005,38.4341503929882
"42",0.07,0.01,88.7056970478288
"43",0.07,0.015,134.872148128882
"44",0.07,0.02,175.151686825906
"45",0.07,0.025,209.511815213204
"46",0.07,0.03,238.432353441021
"47",0.07,0.035,262.546006859983
"48",0.07,0.04,282.501390747977
"49",0.08,0.005,39.563007168447
"50",0.08,0.01,91.9222173330901
"51",0.08,0.015,140.719503561576
"52",0.08,0.02,183.94332028685
"53",0.08,0.025,221.315937046106
"54",0.08,0.03,253.119523236325
"55",0.08,0.035,279.862312264495
"56",0.08,0.04,302.133157543207
"57",0.09,0.005,39.6851832063601
"58",0.09,0.01,92.6623240855308
"59",0.09,0.015,142.569823851195
"60",0.09,0.02,187.283516304144
"61",0.09,0.025,226.354957438701
"62",0.09,0.03,259.899966350994
"63",0.09,0.035,288.303496141029
"64",0.09,0.04,312.08081845919
"65",0.1,0.005,38.9155820001477
"66",0.1,0.01,91.2073117905806
"67",0.1,0.015,140.861276920491
"68",0.1,0.02,185.723424755609
"69",0.1,0.025,225.236963436593
"70",0.1,0.03,259.390966326549
"71",0.1,0.035,288.463844745463
"72",0.1,0.04,312.897912829342
"73",0.11,0.005,37.369203287347
"74",0.11,0.01,87.8395315122722
"75",0.11,0.015,136.043739833414
"76",0.11,0.02,179.856588480608
"77",0.11,0.025,218.661044404202
"78",0.11,0.03,252.358876707873
"79",0.11,0.035,281.146523560922
"80",0.11,0.04,305.403445784802
