"","PM Axial Extrusion(w_m)","Magnet thickenss","Torque"
"1",0.02,0.005,14.3750047146157
"2",0.02,0.01,29.1970068119188
"3",0.02,0.015,40.0346712931687
"4",0.02,0.02,48.0698346657097
"5",0.02,0.025,54.201467258201
"6",0.02,0.03,58.9851852340824
"7",0.02,0.035,62.7734764363036
"8",0.02,0.04,65.8016590318558
"9",0.03,0.005,22.0000644985701
"10",0.03,0.01,47.5357258235874
"11",0.03,0.015,67.7379276643031
"12",0.03,0.02,83.3846919336642
"13",0.03,0.025,95.6279763600169
"14",0.03,0.03,105.326449636387
"15",0.03,0.035,113.08172097755
"16",0.03,0.04,119.320791612608
"17",0.04,0.005,28.0758613454008
"18",0.04,0.01,62.9277880994889
"19",0.04,0.015,92.1433591684342
"20",0.04,0.02,115.693449334387
"21",0.04,0.025,134.608220010901
"22",0.04,0.03,149.850470006514
"23",0.04,0.035,162.179390049165
"24",0.04,0.04,172.175887189834
"25",0.05,0.005,32.6775390890887
"26",0.05,0.01,74.9519439457167
"27",0.05,0.015,111.835257559749
"28",0.05,0.02,142.558687282567
"29",0.05,0.025,167.836678802058
"30",0.05,0.03,188.557155714662
"31",0.05,0.035,205.519683121927
"32",0.05,0.04,219.390292079873
"33",0.06,0.005,35.9295237852125
"34",0.06,0.01,83.7125463738649
"35",0.06,0.015,126.557522368922
"36",0.06,0.02,163.173556222933
"37",0.06,0.025,193.932540656294
"38",0.06,0.03,219.546326085234
"39",0.06,0.035,240.759889700462
"40",0.06,0.04,258.254417506012
"41",0.07,0.005,37.9597383038323
"42",0.07,0.01,89.4496926074442
"43",0.07,0.015,136.497980708073
"44",0.07,0.02,177.497799646046
"45",0.07,0.025,212.536640574312
"46",0.07,0.03,242.120992154359
"47",0.07,0.035,266.885248330632
"48",0.07,0.04,287.472004233603
"49",0.08,0.005,38.89449589746
"50",0.08,0.01,92.4376958786656
"51",0.08,0.015,142.013188811394
"52",0.08,0.02,185.851518488394
"53",0.08,0.025,223.836758949807
"54",0.08,0.03,256.28586189175
"55",0.08,0.035,283.702403466276
"56",0.08,0.04,306.658271179096
"57",0.09,0.005,38.8574783423186
"58",0.09,0.01,92.9588741455081
"59",0.09,0.015,143.523437655635
"60",0.09,0.02,188.723691580387
"61",0.09,0.025,228.313598293781
"62",0.09,0.03,262.456876157096
"63",0.09,0.035,291.531107704911
"64",0.09,0.04,316.02497029103
"65",0.1,0.005,37.9692874914735
"66",0.1,0.01,91.2967711757703
"67",0.1,0.015,141.47288215947
"68",0.1,0.02,186.682121376614
"69",0.1,0.025,226.604371554421
"70",0.1,0.03,261.290988849536
"71",0.1,0.035,291.012566150664
"72",0.1,0.04,316.176568393743
"73",0.11,0.005,36.3472562690984
"74",0.11,0.01,87.7344042249307
"75",0.11,0.015,136.314424465368
"76",0.11,0.02,180.331147072
"77",0.11,0.025,219.429558165191
"78",0.11,0.03,253.586100153656
"79",0.11,0.035,282.989337987169
"80",0.11,0.04,307.976507312772
