wm,b,t1k,t2k,t4k,t6k,t8k,Avg Torque over RPM range,,,
0.1,0.02,184.2974074,185.7234248,186.4124712,186.6821214,186.6768315,185.9584513,,,
0.1,0.025,223.1201461,225.2369634,226.2106822,226.6043716,226.7869636,225.5918254,,,
0.1,0.03,256.3677732,259.3909663,260.754811,261.2909888,261.6019446,259.8812968,,,
0.1,0.035,284.36699,288.4638447,290.3086621,291.0125662,291.4361795,289.1176485,,,
0.1,0.04,307.6295224,312.8979128,315.2857946,316.1765684,316.7103835,313.7400364,,,
0.11,0.005,37.1565045,37.36920329,37.2646745,36.34725627,34.87214531,36.60195677,,,
0.11,0.01,87.47879046,87.83953151,88.02331782,87.73440422,86.68995999,87.5532008,,,
0.11,0.015,135.5547212,136.0437398,136.2888207,136.3144245,135.9039635,136.0211339,,,
0.11,0.02,179.0763107,179.8565885,180.1884811,180.3311471,180.2573688,179.9419792,,,
0.11,0.025,217.3208064,218.6610444,219.1939203,219.4295582,219.5280723,218.8266803,,,
0.11,0.03,250.1790182,252.3588767,253.2291051,253.5861002,253.8017429,252.6309686,,,
0.11,0.035,277.9024302,281.1465236,282.4754257,282.989338,283.3114016,281.5650238,,,
0.11,0.04,300.9551446,305.4034458,307.2778044,307.9765073,308.4069416,306.0039687,,,
