"","PM Axial Extrusion(w_m)","Magnet thickenss","Torque"
"1",0.02,0.005,12.9180937822312
"2",0.02,0.01,25.9236278434901
"3",0.02,0.015,35.5724527733105
"4",0.02,0.02,42.8305314277062
"5",0.02,0.025,48.4200141884185
"6",0.02,0.03,52.800349983894
"7",0.02,0.035,56.2717992067791
"8",0.02,0.04,59.040718018705
"9",0.03,0.005,20.7015540920753
"10",0.03,0.01,43.8958665121842
"11",0.03,0.015,62.264466178002
"12",0.03,0.02,76.5790910610061
"13",0.03,0.025,87.8291045265023
"14",0.03,0.03,96.7545046277849
"15",0.03,0.035,103.882509619688
"16",0.03,0.04,109.595775698185
"17",0.04,0.005,27.0675403908906
"18",0.04,0.01,59.4706725204452
"19",0.04,0.015,86.5392002679781
"20",0.04,0.02,108.372261694428
"21",0.04,0.025,125.910864237408
"22",0.04,0.03,140.023095035277
"23",0.04,0.035,151.397491759032
"24",0.04,0.04,160.569381138245
"25",0.05,0.005,31.9844505340406
"26",0.05,0.01,71.8844782531436
"27",0.05,0.015,106.584821900729
"28",0.05,0.02,135.42531661572
"29",0.05,0.025,159.082193522178
"30",0.05,0.03,178.391190349292
"31",0.05,0.035,194.105453079967
"32",0.05,0.04,206.859564657299
"33",0.06,0.005,35.5518665221267
"34",0.06,0.01,81.1042009599787
"35",0.06,0.015,121.905842622534
"36",0.06,0.02,156.663026803916
"37",0.06,0.025,185.707110983173
"38",0.06,0.03,209.731563271705
"39",0.06,0.035,229.466861763869
"40",0.06,0.04,245.587631504717
"41",0.07,0.005,37.8837743385849
"42",0.07,0.01,87.3200105058559
"43",0.07,0.015,132.563286908916
"44",0.07,0.02,171.865945622957
"45",0.07,0.025,205.227782174619
"46",0.07,0.03,233.149695685569
"47",0.07,0.035,256.280573664833
"48",0.07,0.04,275.286024767668
"49",0.08,0.005,39.0951103307682
"50",0.08,0.01,90.7879265353881
"51",0.08,0.015,138.850383524705
"52",0.08,0.02,181.241867898874
"53",0.08,0.025,217.687353915909
"54",0.08,0.03,248.490423351101
"55",0.08,0.035,274.190150839109
"56",0.08,0.04,295.411017763723
"57",0.09,0.005,39.3008902180955
"58",0.09,0.01,91.7830304785236
"59",0.09,0.015,141.156386409958
"60",0.09,0.02,185.210842404234
"61",0.09,0.025,223.463732986709
"62",0.09,0.03,256.043890087431
"63",0.09,0.035,283.377287013087
"64",0.09,0.04,306.032399551862
"65",0.1,0.005,38.6162517980447
"66",0.1,0.01,90.5859160812307
"67",0.1,0.015,139.909819977815
"68",0.1,0.02,184.297407415639
"69",0.1,0.025,223.120146087822
"70",0.1,0.03,256.367773177967
"71",0.1,0.035,284.366990023264
"72",0.1,0.04,307.629522399139
"73",0.11,0.005,37.1565045014513
"74",0.11,0.01,87.4787904560484
"75",0.11,0.015,135.554721193099
"76",0.11,0.02,179.076310729671
"77",0.11,0.025,217.320806439495
"78",0.11,0.03,250.179018155412
"79",0.11,0.035,277.902430177292
"80",0.11,0.04,300.955144593146
